id,example,exampleTranslation,collocations
601,"Please connect the printer to the office network.","请把打印机连接到办公室网络。","connect to a network=连接网络 | connect a device=连接设备"
602,"This software is compatible with older computers.","这款软件与较旧的电脑兼容。","compatible with=与…兼容 | fully compatible=完全兼容"
603,"Please install the latest version of the software.","请安装该软件的最新版本。","latest version=最新版本 | updated version=更新版本"
604,"The company plans to upgrade its computer system.","公司计划升级计算机系统。","system upgrade=系统升级 | upgrade equipment=升级设备"
605,"Remember to back up your files regularly.","记得定期备份文件。","backup copy=备份副本 | data backup=数据备份"
606,"The technician recovered the lost data.","技术人员恢复了丢失的数据。","recover data=恢复数据 | recover from a problem=从问题中恢复"
607,"The website explains how customer privacy is protected.","网站说明了如何保护客户隐私。","privacy policy=隐私政策 | protect privacy=保护隐私"
608,"Each user must create a personal password.","每位用户都必须创建个人密码。","registered user=注册用户 | user account=用户账户"
609,"Please register online before the seminar.","请在研讨会前在线登记。","register for an event=报名活动 | register a product=登记产品"
610,"You need a password to log in to the system.","你需要密码才能登录系统。","login page=登录页面 | login details=登录信息"
611,"Customers can browse the online catalog by category.","顾客可以按类别浏览在线目录。","browse a website=浏览网站 | browse products=浏览商品"
612,"Please upload the completed form before Friday.","请在星期五前上传填写好的表格。","upload a file=上传文件 | upload data=上传数据"
613,"The invoice was included as an email attachment.","发票作为邮件附件发送。","email attachment=邮件附件 | file attachment=文件附件"
614,"Please contact technical support if the error continues.","如果错误持续请联系技术支持。","technical support=技术支持 | technical problem=技术问题"
615,"The region is known for automobile manufacturing.","该地区以汽车制造业闻名。","manufacturing industry=制造业 | manufacturing process=制造流程"
616,"The assembly of each unit takes about twenty minutes.","每台产品的装配大约需要20分钟。","assembly line=装配线 | final assembly=最终装配"
617,"Workers assemble the parts on the production line.","工人在生产线上组装零件。","assemble parts=组装零件 | assemble a product=组装产品"
618,"Factory output increased after the upgrade.","升级后工厂产量提高了。","production output=生产产量 | data output=数据输出"
619,"The inspector found a defect in the product.","检查员发现产品有缺陷。","product defect=产品缺陷 | manufacturing defect=制造缺陷"
620,"The machine stopped because of an electrical fault.","机器因电气故障停止运行。","technical fault=技术故障 | find a fault=发现故障"
621,"Engineers will test the new system tomorrow.","工程师明天将测试新系统。","test equipment=测试设备 | test result=测试结果"
622,"We need to measure the room before ordering furniture.","订购家具前我们需要测量房间。","measure performance=衡量表现 | safety measure=安全措施"
623,"The measurement must be accurate before production begins.","生产开始前测量结果必须准确。","accurate measurement=准确测量 | take a measurement=进行测量"
624,"Please check the product specification before ordering.","订购前请检查产品规格。","technical specification=技术规格 | product specification=产品规格"
625,"Three years of experience is a job requirement.","三年工作经验是一项任职要求。","job requirement=任职要求 | meet requirements=满足要求"
626,"The company plans to standardize its reporting process.","公司计划统一报告流程。","standardize a process=标准化流程 | standardized form=标准表格"
627,"Regular checks help maintain product consistency.","定期检查有助于保持产品一致性。","ensure consistency=确保一致性 | data consistency=数据一致性"
628,"We need a reliable supplier for this project.","这个项目需要一家可靠的供应商。","reliable service=可靠服务 | reliable source=可靠来源"
629,"The new material is lightweight and durable.","这种新材料轻便耐用。","durable product=耐用产品 | highly durable=非常耐用"
630,"Please provide accurate information on the application.","请在申请中提供准确信息。","accurate information=准确信息 | accurate estimate=准确估算"
631,"The new system improved the accuracy of our reports.","新系统提高了报告的准确性。","data accuracy=数据准确性 | improve accuracy=提高准确性"
632,"Customer feedback led to several service improvements.","客户反馈促成了几项服务改进。","make an improvement=进行改进 | continuous improvement=持续改进"
633,"The factory plans to automate more production tasks.","工厂计划将更多生产任务自动化。","automate a process=自动化流程 | automated system=自动化系统"
634,"The factory purchased new machinery last year.","工厂去年购买了新机械设备。","heavy machinery=重型机械 | industrial machinery=工业机械"
635,"The samples were tested in a laboratory.","样品在实验室中进行了测试。","research laboratory=研究实验室 | laboratory test=实验室测试"
636,"Most business correspondence is now sent by email.","大多数商务往来现在通过电子邮件发送。","business correspondence=商务往来 | email correspondence=邮件往来"
637,"The recipient must sign for the package.","收件人必须签收包裹。","email recipient=邮件收件人 | intended recipient=指定收件人"
638,"The sender's address is printed on the label.","寄件人地址印在标签上。","email sender=邮件发件人 | sender address=寄件人地址"
639,"Please write the meeting date in the email subject.","请在邮件主题中写上会议日期。","email subject=邮件主题 | subject line=主题栏"
640,"I am writing regarding your recent order.","我写信是关于你最近的订单。","regarding your request=关于你的请求 | regarding payment=关于付款"
641,"We received an inquiry about our training program.","我们收到了一项关于培训计划的询问。","customer inquiry=客户咨询 | make an inquiry=提出询问"
642,"Thank you for your quick response to our request.","感谢你快速回应我们的请求。","quick response=快速回复 | response time=响应时间"
643,"Could you clarify the delivery schedule?","你能澄清一下送货日程吗？","clarify a point=澄清一点 | clarify the situation=澄清情况"
644,"The report mentions several possible solutions.","报告提到了几个可能的解决方案。","mention a problem=提及问题 | as mentioned above=如上所述"
645,"Please notify us if your address changes.","如果地址变更请通知我们。","notify a customer=通知客户 | notify someone of=通知某人…"
646,"Please remind the staff about tomorrow's meeting.","请提醒员工明天的会议。","remind someone to do=提醒某人做 | reminder email=提醒邮件"
647,"We apologize for the delay in delivery.","我们为送货延误表示歉意。","apologize for=为…道歉 | sincerely apologize=诚挚道歉"
648,"We appreciate your continued business.","感谢你一直以来的惠顾。","greatly appreciate=非常感谢 | appreciate your help=感谢你的帮助"
649,"The manager suggested changing the meeting time.","经理建议更改会议时间。","suggest a solution=提出解决方案 | suggest doing=建议做"
650,"Please advise us of any changes to the schedule.","日程如有变化请通知我们。","advise someone to do=建议某人做 | advise us of=告知我们…"
651,"The committee reviewed the new business proposal.","委员会审查了新的商业提案。","submit a proposal=提交提案 | business proposal=商业提案"
652,"Please follow the installation instructions carefully.","请仔细按照安装说明操作。","follow instructions=遵循说明 | safety instructions=安全说明"
653,"The job description lists the required skills.","职位说明列出了所需技能。","job description=职位说明 | product description=产品说明"
654,"The company made an announcement about the office move.","公司发布了关于办公室搬迁的公告。","make an announcement=发布公告 | public announcement=公开公告"
655,"The report is available in the latest company publication.","该报告刊登在公司最新出版物中。","annual publication=年度出版物 | publication date=发布日期"
656,"The monthly newsletter includes company news.","月度简报包含公司新闻。","company newsletter=公司简报 | monthly newsletter=月报"
657,"I read an article about the new technology.","我读了一篇关于新技术的文章。","news article=新闻文章 | magazine article=杂志文章"
658,"The editor reviewed the article before publication.","编辑在出版前审阅了文章。","chief editor=主编 | magazine editor=杂志编辑"
659,"The company issued a press release yesterday.","公司昨天发布了新闻稿。","press release=新闻稿 | press conference=记者会"
660,"We had to postpone the meeting until next week.","我们不得不把会议推迟到下周。","postpone a meeting=推迟会议 | postpone until=推迟到"
661,"Please reschedule the appointment for Friday afternoon.","请把预约改到星期五下午。","reschedule a meeting=重新安排会议 | reschedule an appointment=改预约"
662,"More than fifty employees participated in the survey.","50多名员工参加了调查。","participate in=参加 | participate actively=积极参与"
663,"Each participant received a training manual.","每位参加者都收到了一本培训手册。","conference participant=会议参加者 | survey participant=调查参与者"
664,"The guest speaker will discuss market trends.","嘉宾讲者将讨论市场趋势。","guest speaker=嘉宾讲者 | keynote speaker=主旨演讲者"
665,"The afternoon session begins at two.","下午场两点开始。","training session=培训课程 | afternoon session=下午场"
666,"The hotel was selected as the conference venue.","这家酒店被选为会议场地。","conference venue=会议场地 | event venue=活动场地"
667,"Online registration closes on Friday.","网上报名星期五截止。","registration form=登记表 | online registration=网上报名"
668,"The event organizer sent the final schedule.","活动组织者发送了最终日程。","event organizer=活动组织者 | conference organizer=会议组织方"
669,"Travel arrangements should be completed this week.","旅行安排应在本周完成。","travel arrangement=旅行安排 | seating arrangement=座位安排"
670,"Please check the manager's availability before scheduling the meeting.","安排会议前请确认经理是否有空。","check availability=确认是否可用 | product availability=商品库存情况"
671,"The meeting has been added to my calendar.","会议已添加到我的日历中。","calendar year=日历年 | meeting calendar=会议日程"
672,"The training has a duration of three hours.","培训持续三小时。","project duration=项目周期 | duration of=…的持续时间"
673,"Sales increased during the holiday period.","节日期间销售额增长了。","time period=时间段 | trial period=试用期"
674,"The company hired temporary staff for the busy season.","公司为旺季雇用了临时员工。","temporary staff=临时员工 | temporary position=临时职位"
675,"She was offered a permanent position after training.","培训后她获得了正式职位。","permanent position=正式职位 | permanent employee=正式员工"
676,"The problem requires immediate attention.","这个问题需要立即处理。","immediate action=立即行动 | immediate response=立即回应"
677,"Details of the upcoming event are on the website.","即将举行的活动详情在网站上。","upcoming event=即将举行的活动 | upcoming meeting=即将召开的会议"
678,"Please review the previous version of the report.","请查看报告的上一版本。","previous experience=以往经验 | previous year=上一年"
679,"Recent sales figures show steady growth.","最近的销售数据表明持续增长。","recent report=最近报告 | recent changes=近期变化"
680,"Frequent maintenance can prevent equipment problems.","频繁维护可以防止设备问题。","frequent customer=常客 | frequent updates=频繁更新"
681,"The company holds regular staff meetings.","公司定期召开员工会议。","regular meeting=定期会议 | regular customer=常客"
682,"This is a good occasion to thank our clients.","这是感谢客户的好机会。","special occasion=特殊场合 | on occasion=偶尔"
683,"The award ceremony begins at six.","颁奖典礼六点开始。","opening ceremony=开幕式 | award ceremony=颁奖典礼"
684,"The team celebrated its successful product launch.","团队庆祝产品成功发布。","celebrate success=庆祝成功 | celebrate an anniversary=庆祝周年"
685,"The procurement team requested quotes from three suppliers.","采购团队向三家供应商索取报价。","procurement process=采购流程 | procurement department=采购部门"
686,"Three companies submitted bids for the project.","三家公司为该项目提交了投标。","submit a bid=提交投标 | winning bid=中标"
687,"The government issued a tender for construction work.","政府发布了建筑工程招标。","submit a tender=提交投标 | tender document=招标文件"
688,"Please provide a quote for the requested quantity.","请为所需数量提供报价。","price quote=价格报价 | request a quote=索取报价"
689,"We receive a discount when ordering in bulk.","批量订购时我们可以获得折扣。","buy in bulk=批量购买 | bulk order=批量订单"
690,"The price per unit falls for larger orders.","订单数量越大单价越低。","per unit=每单位 | business unit=业务部门"
