id,example,exampleTranslation,collocations
301,"We need a small meeting room for six people.","我们需要一个能坐六人的小会议室。","small business=小企业 | small amount=少量"
302,"The company rented a large warehouse near the port.","公司在港口附近租了一个大型仓库。","large company=大公司 | large amount=大量"
303,"These shoes fit me very well.","这双鞋非常合脚。","fit well=很合适 | fit the requirements=符合要求"
304,"You can try the jacket on before buying it.","购买前你可以试穿这件夹克。","try on=试穿 | try to do=尝试做"
305,"Employees must wear safety shoes in the factory.","员工在工厂必须穿安全鞋。","wear a uniform=穿制服 | wear a badge=佩戴证件"
306,"Please pay the cashier at the front counter.","请在前台柜台向收银员付款。","store cashier=商店收银员 | cashier desk=收银台"
307,"The company offers health insurance to employees.","公司为员工提供健康保险。","health insurance=健康保险 | health care=医疗保健"
308,"He was taken to the hospital after the accident.","事故发生后他被送往医院。","local hospital=当地医院 | hospital staff=医院员工"
309,"The doctor advised her to take a few days off.","医生建议她休息几天。","see a doctor=看医生 | company doctor=公司医生"
310,"The clinic can see twenty patients a day.","这家诊所每天可以接待20名患者。","hospital patient=住院患者 | be patient with=对…有耐心"
311,"Please take the medicine after meals.","请饭后服药。","take medicine=服药 | prescription medicine=处方药"
312,"The company requires a medical check before employment.","公司要求入职前进行体检。","medical examination=体检 | medical care=医疗服务"
313,"She called in sick this morning.","她今天早上打电话请病假。","call in sick=请病假 | feel sick=感到不舒服"
314,"Please keep the emergency exit clear and safe.","请保持紧急出口畅通安全。","safe working environment=安全工作环境 | safe to use=使用安全"
315,"Safety training is required for all factory workers.","所有工厂员工都必须参加安全培训。","safety training=安全培训 | safety rules=安全规定"
316,"The warning sign shows a danger of electric shock.","警示牌提示有触电危险。","in danger=处于危险中 | danger sign=危险标志"
317,"The company reported the accident immediately.","公司立即报告了这起事故。","traffic accident=交通事故 | workplace accident=工作场所事故"
318,"Call this number in case of an emergency.","如遇紧急情况请拨打这个号码。","emergency exit=紧急出口 | emergency contact=紧急联系人"
319,"The hotel takes good care of its guests.","这家酒店很好地照顾客人。","take care of=照顾 | customer care=客户关怀"
320,"Please ask the front desk if you need help.","如果需要帮助请询问前台。","ask for help=寻求帮助 | help a customer=帮助顾客"
321,"Employees should take a short rest after long shifts.","长时间轮班后员工应该短暂休息。","take a rest=休息 | rest area=休息区"
322,"Please keep the kitchen clean at all times.","请始终保持厨房清洁。","clean a room=打扫房间 | clean environment=清洁环境"
323,"Safety glasses protect workers from flying objects.","护目镜可以保护员工免受飞溅物伤害。","protect against=防止 | protect personal data=保护个人数据"
324,"Everyone must follow the company rules.","所有人都必须遵守公司规定。","follow a rule=遵守规定 | safety rule=安全规则"
325,"A warning was posted near the broken elevator.","损坏的电梯附近张贴了警告。","warning sign=警示标志 | issue a warning=发出警告"
326,"Regular maintenance keeps the machines in good condition.","定期维护可以让机器保持良好状态。","routine maintenance=日常维护 | maintenance cost=维护费用"
327,"A technician will fix the printer this afternoon.","技术人员今天下午会修理打印机。","fix a problem=解决问题 | fix a machine=修理机器"
328,"We need to replace the old computer next month.","我们下个月需要更换旧电脑。","replace equipment=更换设备 | replace A with B=用B替换A"
329,"The broken chair has been removed from the meeting room.","损坏的椅子已从会议室移走。","broken equipment=损坏的设备 | broken window=破损的窗户"
330,"Engineers inspect the equipment every six months.","工程师每六个月检查一次设备。","inspect equipment=检查设备 | inspect a facility=检查设施"
331,"The equipment is still in good condition.","设备仍然处于良好状态。","in good condition=状况良好 | working condition=工作状态"
332,"We ordered a replacement part for the machine.","我们为机器订购了替换零件。","spare part=备用零件 | part of=…的一部分"
333,"Use the correct tool for each repair job.","每项维修工作都要使用正确的工具。","power tool=电动工具 | useful tool=实用工具"
334,"The train made an unscheduled stop because of a signal problem.","火车因信号问题临时停车。","bus stop=公交站 | stop working=停止工作"
335,"The storm caused damage to the warehouse roof.","暴风雨损坏了仓库屋顶。","property damage=财产损失 | damage equipment=损坏设备"
336,"We received your request for additional information.","我们收到了你要求补充信息的请求。","make a request=提出请求 | customer request=客户请求"
337,"The team is looking for a long-term solution.","团队正在寻找长期解决方案。","practical solution=实际解决方案 | find a solution=找到解决办法"
338,"Please complete the form before the interview.","请在面试前填写完表格。","complete a form=填写完整表格 | complete a task=完成任务"
339,"Please fill out this application form.","请填写这份申请表。","application form=申请表 | fill out a form=填写表格"
340,"Write your full name at the top of the page.","请在页面顶部写上你的全名。","full name=全名 | brand name=品牌名称"
341,"Your order number is printed on the receipt.","你的订单编号印在收据上。","phone number=电话号码 | order number=订单编号"
342,"The contract requires your signature on the last page.","合同要求你在最后一页签名。","electronic signature=电子签名 | obtain a signature=取得签名"
343,"Please write the address clearly on the package.","请在包裹上清楚写明地址。","write a report=写报告 | write down=写下"
344,"Please read the instructions carefully before installation.","安装前请仔细阅读说明。","read a document=阅读文件 | read carefully=仔细阅读"
345,"Please fill in all required fields.","请填写所有必填项目。","fill in a form=填写表格 | fill a position=填补职位"
346,"Enter your password to access the system.","请输入密码以访问系统。","enter a password=输入密码 | enter a market=进入市场"
347,"Select a delivery method from the list.","请从列表中选择配送方式。","select an option=选择选项 | select a candidate=选定候选人"
348,"Please attach the invoice to your email.","请把发票附在邮件中。","attach a file=附加文件 | attach a label=贴标签"
349,"You must submit the expense report by Monday.","你必须在星期一前提交费用报告。","submit an application=提交申请 | submit a report=提交报告"
350,"Keep the original receipt for your records.","请保留原始收据作为记录。","original document=原始文件 | original copy=原件"
351,"The price list is on the second page.","价格表在第二页。","web page=网页 | page number=页码"
352,"Please read the safety section of the manual.","请阅读手册中的安全章节。","section of a report=报告章节 | sales section=销售区域"
353,"The email contains a list of approved suppliers.","邮件中包含获批供应商清单。","make a list=列清单 | price list=价格表"
354,"We keep a record of every customer complaint.","我们保留每一项客户投诉的记录。","keep a record=保存记录 | sales record=销售记录"
355,"Please note the change in delivery time.","请注意送货时间的变更。","take notes=做笔记 | note that=注意到"
356,"We need to make a decision by Friday.","我们需要在星期五前做出决定。","make a decision=做决定 | make a payment=付款"
357,"The installation will take about two hours.","安装大约需要两个小时。","take time=花时间 | take action=采取行动"
358,"Please give the customer a copy of the receipt.","请给顾客一份收据副本。","give advice=给建议 | give a presentation=做演示"
359,"You can get more information from our website.","你可以从我们的网站获取更多信息。","get information=获取信息 | get approval=获得批准"
360,"We need to find a new supplier before September.","我们需要在九月前找到新的供应商。","find a solution=找到解决办法 | find out=查明"
361,"Please look at the updated schedule.","请看一下更新后的日程。","look at=查看 | look for=寻找"
362,"You can see the latest prices on our website.","你可以在网站上看到最新价格。","see a doctor=看医生 | see the results=查看结果"
363,"The chart shows an increase in sales.","图表显示销售额有所增长。","show a result=显示结果 | show a visitor around=带访客参观"
364,"Please keep this receipt for your records.","请保留这张收据作为记录。","keep a record=保存记录 | keep in touch=保持联系"
365,"Please put the documents on my desk.","请把文件放在我的桌上。","put in an order=下订单 | put into practice=付诸实践"
366,"Please bring your identification to the interview.","请带身份证明参加面试。","bring a document=带文件 | bring attention to=引起注意"
367,"The company plans to move to a larger office.","公司计划搬到更大的办公室。","move to a new office=搬到新办公室 | move forward=向前推进"
368,"Please wait in the reception area.","请在接待区等候。","wait for=等待 | waiting area=等候区"
369,"Please follow the instructions on the screen.","请按照屏幕上的说明操作。","follow instructions=遵循说明 | follow a procedure=遵循流程"
370,"Remember to submit your report before Friday.","记得在星期五前提交报告。","remember to do=记得做 | remember a name=记住名字"
371,"I understand the reason for the delay.","我理解延误的原因。","understand a problem=理解问题 | fully understand=充分理解"
372,"Do you know the customer's order number?","你知道客户的订单编号吗？","know about=了解 | know how to=知道如何"
373,"New employees learn the system during training.","新员工在培训期间学习使用系统。","learn a skill=学习技能 | learn about=了解"
374,"The manager will decide which supplier to use.","经理将决定使用哪家供应商。","decide to do=决定做 | decide on=决定选择"
375,"Both companies agreed to the new contract terms.","两家公司都同意了新的合同条款。","agree to a proposal=同意提案 | agree with=同意某人观点"
376,"We accept payment by cash or card.","我们接受现金或刷卡付款。","accept an offer=接受报价 | accept payment=接受付款"
377,"Please add your phone number to the form.","请在表格中添加你的电话号码。","add information=添加信息 | add to the cost=增加成本"
378,"The policy does not allow visitors in this area.","规定不允许访客进入该区域。","allow access=允许访问 | allow someone to do=允许某人做"
379,"We arranged a meeting with the client for Tuesday.","我们安排星期二与客户开会。","arrange a meeting=安排会议 | arrange transportation=安排交通"
380,"She became the department manager last year.","她去年成为部门经理。","become available=变得可用 | become responsible for=开始负责"
381,"The seminar will begin at nine thirty.","研讨会将在九点半开始。","begin a meeting=开始会议 | begin with=以…开始"
382,"We believe the new plan will reduce costs.","我们相信新计划会降低成本。","believe that=相信… | strongly believe=坚信"
383,"Passengers may carry one small bag on board.","乘客可以随身携带一个小包。","carry luggage=携带行李 | carry out a task=执行任务"
384,"Please collect your visitor badge at reception.","请在接待处领取访客证。","collect data=收集数据 | collect a package=领取包裹"
385,"The company will continue to expand overseas.","公司将继续向海外扩张。","continue to do=继续做 | continue operations=继续运营"
386,"Please correct the address before submitting the form.","提交表格前请更正地址。","correct information=更正信息 | correct answer=正确答案"
387,"The insurance will cover the cost of repairs.","保险将承担维修费用。","cover costs=承担费用 | cover a topic=涵盖主题"
388,"The company plans to cut travel expenses.","公司计划削减差旅费用。","cut costs=削减成本 | cut prices=降价"
389,"We offer several different payment options.","我们提供几种不同的付款方式。","different from=与…不同 | different types of=不同类型的"
390,"The online form is easy to complete.","在线表格很容易填写。","easy to use=易于使用 | easy access=方便访问"
391,"Guests can enjoy free breakfast at the hotel.","客人可以在酒店享用免费早餐。","enjoy a meal=享用餐食 | enjoy a benefit=享受福利"
392,"We have enough stock to fill all current orders.","我们的库存足以完成所有现有订单。","enough time=足够时间 | enough information=足够信息"
393,"We expect the shipment to arrive tomorrow.","我们预计货物明天到达。","expect to do=预计做 | expect a delivery=预计送达"
394,"Customer feedback is important to our business.","客户反馈对我们的业务很重要。","important information=重要信息 | important to=对…重要"
395,"The price includes tax and delivery.","价格包含税费和配送。","include tax=包含税费 | include in=包括在…中"
396,"The meeting lasted nearly three hours.","会议持续了将近三个小时。","last for=持续 | last month=上个月"
397,"Our main office is located in Tokyo.","我们的总部位于东京。","main office=总部 | main reason=主要原因"
398,"The company introduced a new product this month.","公司本月推出了一款新产品。","new employee=新员工 | new product=新产品"
399,"The next train leaves in ten minutes.","下一班火车十分钟后出发。","next week=下周 | next step=下一步"
400,"The company replaced several old computers.","公司更换了几台旧电脑。","old equipment=旧设备 | old version=旧版本"
