id,example,exampleTranslation,collocations
201,"The company is hiring for a sales position.","公司正在招聘销售职位。","open position=空缺职位 | management position=管理职位"
202,"She hopes to build a career in finance.","她希望在金融领域发展职业生涯。","career path=职业道路 | career development=职业发展"
203,"You can apply for the position online.","你可以在线申请这个职位。","apply for a job=申请工作 | apply to a company=向公司申请"
204,"Please submit your application by Friday.","请在星期五前提交申请。","job application=求职申请 | application form=申请表"
205,"Attach your resume to the application email.","请把简历附在申请邮件中。","update a resume=更新简历 | submit a resume=提交简历"
206,"Each candidate will have a thirty-minute interview.","每位候选人都有30分钟的面试。","job candidate=求职者 | qualified candidate=合格候选人"
207,"The company plans to hire twenty new employees.","公司计划招聘20名新员工。","hire employees=雇用员工 | hire a car=租车"
208,"Every worker must follow the safety rules.","每位工作人员都必须遵守安全规定。","factory worker=工厂工人 | skilled worker=技术工人"
209,"The position offers a competitive salary.","这个职位提供有竞争力的薪资。","annual salary=年薪 | salary increase=加薪"
210,"The minimum hourly wage will increase next month.","最低时薪下个月将上涨。","hourly wage=时薪 | minimum wage=最低工资"
211,"Employees receive health insurance as a benefit.","员工享有健康保险福利。","employee benefits=员工福利 | benefit from=从…受益"
212,"She is taking a two-week vacation in August.","她八月要休两周假。","take a vacation=休假 | vacation days=年假天数"
213,"The office will be closed for the national holiday.","办公室将在法定假日关闭。","public holiday=公共假日 | holiday season=假日季"
214,"Previous sales experience is preferred.","有销售经验者优先。","work experience=工作经验 | gain experience=积累经验"
215,"Good communication skills are required for this job.","这份工作需要良好的沟通技能。","communication skills=沟通能力 | technical skills=技术技能"
216,"Her ability to solve problems impressed the manager.","她解决问题的能力给经理留下了深刻印象。","ability to do=做某事的能力 | leadership ability=领导能力"
217,"Please include your education history on the application.","请在申请中填写你的教育经历。","higher education=高等教育 | education background=教育背景"
218,"The new advertising campaign was very successful.","新的广告活动非常成功。","successful business=成功的企业 | successful candidate=成功应聘者"
219,"The manager is responsible for staff training.","经理负责员工培训。","be responsible for=负责 | responsible person=负责人"
220,"Please use a professional tone in customer emails.","给客户写邮件时请使用专业的语气。","professional experience=专业经验 | professional service=专业服务"
221,"The company has been in business for twenty years.","这家公司已经经营20年。","do business with=与…做生意 | business hours=营业时间"
222,"Demand is growing in the tourism industry.","旅游行业的需求正在增长。","service industry=服务行业 | industry standards=行业标准"
223,"The factory produces electronic parts.","这家工厂生产电子零件。","factory worker=工厂工人 | factory output=工厂产量"
224,"The plant can produce 1,000 units a day.","工厂每天可以生产1000件产品。","produce goods=生产商品 | produce results=产生结果"
225,"Production increased after the new machines were installed.","新机器安装后产量增加了。","production line=生产线 | production cost=生产成本"
226,"We simplified the ordering process.","我们简化了订购流程。","application process=申请流程 | process an order=处理订单"
