id,example,exampleTranslation,collocations
1,"Our office will be closed on Monday.","我们的办公室星期一不营业。","head office=总部 | office hours=办公时间"
2,"The company plans to open a new branch next year.","公司计划明年开设一家新分店。","company policy=公司政策 | company headquarters=公司总部"
3,"She works in the accounting department.","她在会计部门工作。","work on a project=参与项目 | work schedule=工作日程"
4,"He applied for a sales job last week.","他上周申请了一份销售工作。","job opening=职位空缺 | job interview=求职面试"
5,"Please leave the documents on my desk.","请把文件放在我的办公桌上。","front desk=前台 | desk phone=桌面电话"
6,"The hotel staff were very helpful.","酒店员工非常热情。","staff meeting=员工会议 | staff member=员工"
7,"Our team finished the project ahead of schedule.","我们团队提前完成了项目。","team leader=团队负责人 | team meeting=团队会议"
8,"The manager approved the revised schedule.","经理批准了修改后的日程。","store manager=店长 | project manager=项目经理"
9,"Every employee must wear an identification badge.","每位员工都必须佩戴员工证。","full-time employee=全职员工 | employee benefits=员工福利"
10,"Please contact the sales department for more information.","如需更多信息请联系销售部门。","sales department=销售部门 | department head=部门负责人"
11,"The project is expected to finish in September.","这个项目预计在九月完成。","project plan=项目计划 | project deadline=项目截止日期"
12,"I completed the task before lunch.","我在午饭前完成了这项任务。","complete a task=完成任务 | difficult task=困难任务"
13,"Please submit the monthly report by Friday.","请在星期五之前提交月度报告。","annual report=年度报告 | report a problem=报告问题"
14,"The document contains the new safety rules.","这份文件包含新的安全规定。","official document=正式文件 | document file=文档文件"
15,"Please save the file before closing the program.","关闭程序前请保存文件。","file a complaint=提交投诉 | file name=文件名"
16,"Could you send me a copy of the contract?","你能给我发一份合同副本吗？","make a copy=复印一份 | copy of a document=文件副本"
17,"Please print two copies of the agenda.","请打印两份议程。","print a document=打印文件 | print quality=打印质量"
18,"The meeting starts at ten o'clock.","会议十点开始。","attend a meeting=参加会议 | meeting room=会议室"
19,"The training schedule has been updated.","培训日程已经更新。","work schedule=工作日程 | schedule a meeting=安排会议"
20,"The deadline for applications is August 30.","申请截止日期是8月30日。","meet a deadline=按时完成 | extend a deadline=延长截止日期"
21,"I sent you an email with the updated file.","我给你发了一封附有更新文件的邮件。","send an email=发送邮件 | email address=电子邮箱地址"
22,"Please leave a message if I am away from my desk.","如果我不在座位上请留言。","leave a message=留言 | text message=短信"
23,"I will call the customer this afternoon.","我今天下午会给客户打电话。","make a call=打电话 | phone call=电话"
24,"Her phone number is listed on the form.","她的电话号码写在表格上。","phone number=电话号码 | mobile phone=手机"
25,"Please contact our office if you have any questions.","如果有任何问题请联系我们办公室。","contact a customer=联系客户 | contact information=联系信息"
26,"He replied to my email this morning.","他今天早上回复了我的邮件。","reply to an email=回复邮件 | quick reply=快速回复"
27,"Could you answer the phone while I am in the meeting?","我开会时你能接一下电话吗？","answer a question=回答问题 | answer the phone=接电话"
28,"I would like to ask a question about the order.","我想询问一个关于订单的问题。","ask a question=提问 | ask for help=寻求帮助"
29,"Please tell the manager that I called.","请告诉经理我来过电话。","tell the truth=说实话 | tell someone about something=告诉某人某事"
30,"Ms. Lee will speak at the conference.","李女士将在会议上发言。","speak with a client=与客户交谈 | speak at a conference=在会议上发言"
31,"We need to talk about next month's schedule.","我们需要讨论下个月的日程。","talk about a problem=讨论问题 | talk with a customer=与客户交谈"
32,"The team will discuss the proposal tomorrow.","团队明天将讨论这份提案。","discuss a plan=讨论计划 | discuss the details=讨论细节"
33,"Could you explain the new procedure to the staff?","你能向员工解释一下新流程吗？","explain a problem=解释问题 | explain in detail=详细说明"
34,"Please confirm your attendance by Friday.","请在星期五前确认是否出席。","confirm a reservation=确认预订 | confirm receipt=确认收到"
35,"We will inform all employees about the change.","我们会通知所有员工这项变更。","inform customers=通知客户 | inform someone of something=通知某人某事"
36,"The company announced a new training program.","公司宣布了一项新的培训计划。","announce a decision=宣布决定 | announce the results=公布结果"
37,"Please read the notice on the office door.","请阅读办公室门上的通知。","notice board=公告板 | give notice=发出通知"
38,"If you have a question please ask the instructor.","如果你有问题请询问讲师。","ask a question=提问 | answer a question=回答问题"
39,"For more information please visit our website.","如需更多信息请访问我们的网站。","contact information=联系信息 | additional information=补充信息"
40,"The email includes details about the conference.","这封邮件包含会议的详细信息。","in detail=详细地 | contact details=联系方式"
41,"What time does the store open?","这家商店几点开门？","on time=准时 | save time=节省时间"
42,"The delivery date has been changed to Friday.","送货日期已改到星期五。","delivery date=送货日期 | starting date=开始日期"
43,"The office is open eight hours a day.","办公室每天开放八小时。","business day=工作日 | day off=休息日"
44,"The training course lasts one week.","培训课程持续一周。","next week=下周 | working week=工作周"
45,"Sales increased last month.","销售额上个月有所增长。","next month=下个月 | monthly payment=月度付款"
46,"The company celebrates its tenth year in business.","公司庆祝成立十周年。","fiscal year=财政年度 | last year=去年"
47,"The new product goes on sale today.","新产品今天开始销售。","today's meeting=今天的会议 | available today=今天可用"
48,"The package will arrive tomorrow morning.","包裹将在明天上午到达。","tomorrow morning=明天上午 | due tomorrow=明天到期"
49,"The manager usually arrives early in the morning.","经理通常早上很早到。","early morning=清晨 | morning meeting=晨会"
50,"The workshop begins at two in the afternoon.","研讨会下午两点开始。","this afternoon=今天下午 | afternoon session=下午场"
51,"The restaurant is busiest in the evening.","这家餐厅晚上最忙。","evening event=晚间活动 | this evening=今晚"
52,"We arrived early for the presentation.","我们提前到了演示会场。","arrive early=提前到达 | early payment=提前付款"
53,"The flight was delayed because it left late.","航班因为晚点起飞而延误。","arrive late=迟到 | late payment=逾期付款"
54,"The conference will start at nine.","会议将在九点开始。","start a project=启动项目 | start work=开始工作"
55,"Please finish the report before noon.","请在中午前完成报告。","finish a task=完成任务 | finish work=结束工作"
56,"We plan to expand the office next year.","我们计划明年扩建办公室。","business plan=商业计划 | plan a meeting=安排会议"
57,"Please prepare the documents before the meeting.","请在会议前准备好文件。","prepare a report=准备报告 | prepare for a meeting=为会议做准备"
58,"We need to change the meeting time.","我们需要更改会议时间。","change a reservation=更改预订 | change the schedule=修改日程"
59,"Bad weather caused a delay in delivery.","恶劣天气导致送货延迟。","delivery delay=送货延迟 | delay a meeting=推迟会议"
