id,example,exampleTranslation,collocations
401,"The contract will remain valid for two years.","该合同有效期为两年。","sign a contract=签订合同 | contract terms=合同条款"
402,"Both parties reached an agreement yesterday.","双方昨天达成了协议。","reach an agreement=达成协议 | written agreement=书面协议"
403,"Please read the cancellation clause carefully.","请仔细阅读取消条款。","contract clause=合同条款 | cancellation clause=取消条款"
404,"The payment terms are listed on the invoice.","付款条款列在发票上。","terms and conditions=条款与条件 | payment terms=付款条件"
405,"Please follow the standard procedure for refunds.","退款请遵循标准流程。","standard procedure=标准流程 | follow a procedure=遵循流程"
406,"The new regulation takes effect next month.","新规定下个月生效。","government regulation=政府法规 | safety regulation=安全规定"
407,"The legal department reviewed the contract.","法务部门审查了合同。","legal advice=法律建议 | legal requirement=法律要求"
408,"The company must comply with local law.","公司必须遵守当地法律。","by law=依法 | local law=当地法律"
409,"The manager approved the travel request.","经理批准了出差申请。","approve a request=批准请求 | approve a budget=批准预算"
410,"Final approval is required before purchase.","购买前需要最终批准。","get approval=获得批准 | final approval=最终批准"
411,"Only managers are authorized to sign the contract.","只有经理有权签署合同。","authorize payment=授权付款 | authorize someone to do=授权某人做"
412,"You need permission to enter this area.","进入该区域需要许可。","ask for permission=请求许可 | permission to enter=进入许可"
413,"Employees have an obligation to protect customer data.","员工有义务保护客户数据。","legal obligation=法律义务 | fulfill an obligation=履行义务"
414,"The supervisor has responsibility for workplace safety.","主管负责工作场所安全。","take responsibility=承担责任 | responsibility for=对…负责"
415,"We received a complaint about the delayed delivery.","我们收到了关于送货延误的投诉。","file a complaint=提出投诉 | customer complaint=客户投诉"
416,"The customer filed a claim for the damaged item.","客户就损坏商品提出了索赔。","insurance claim=保险索赔 | file a claim=提出索赔"
417,"The company guarantees delivery within five days.","公司保证五天内送达。","money-back guarantee=退款保证 | guarantee quality=保证质量"
418,"The printer comes with a two-year warranty.","这台打印机附带两年保修。","under warranty=在保修期内 | warranty period=保修期"
419,"Your ticket is valid until the end of the month.","你的票有效至本月底。","valid ID=有效证件 | valid until=有效至"
420,"This membership will expire in December.","该会员资格将在十二月到期。","expire soon=即将到期 | contract expires=合同到期"
421,"We plan to renew the service contract next year.","我们计划明年续签服务合同。","renew a contract=续签合同 | renew a subscription=续订"
422,"Either party may terminate the agreement with notice.","任何一方都可以提前通知终止协议。","terminate a contract=终止合同 | terminate employment=解除雇佣"
423,"Employees who violate the policy may be disciplined.","违反规定的员工可能受到处分。","violate a rule=违反规定 | violate a contract=违反合同"
424,"The company plans to recruit more engineers this year.","公司计划今年招聘更多工程师。","recruit employees=招聘员工 | recruit candidates=招募候选人"
425,"Online recruitment has reduced hiring costs.","线上招聘降低了招聘成本。","recruitment process=招聘流程 | recruitment agency=招聘机构"
426,"The employer provides health insurance to all staff.","雇主为所有员工提供健康保险。","potential employer=潜在雇主 | employer contribution=雇主缴费"
427,"The new policy applies to all employment contracts.","新政策适用于所有劳动合同。","employment contract=劳动合同 | employment history=工作经历"
428,"The job requires strong technical qualifications.","这份工作要求较强的技术资历。","job qualification=任职资格 | meet qualifications=符合资格"
429,"Only qualified candidates will be interviewed.","只有合格的候选人才会参加面试。","qualified candidate=合格候选人 | highly qualified=高度合格"
430,"Please provide two professional references.","请提供两位职业推荐人。","reference letter=推荐信 | professional reference=职业推荐人"
431,"The personnel department handles employee records.","人事部门负责员工记录。","personnel department=人事部门 | personnel records=人事档案"
432,"Please report the problem to your supervisor.","请把问题报告给你的主管。","direct supervisor=直属主管 | supervisor approval=主管批准"
433,"I discussed the project with a colleague from sales.","我和销售部门的一位同事讨论了项目。","former colleague=前同事 | work colleague=工作同事"
434,"Ask a coworker to check the report before submission.","提交前请让同事检查报告。","help a coworker=帮助同事 | former coworker=前同事"
435,"The director's assistant arranged the meeting.","主管的助理安排了会议。","administrative assistant=行政助理 | personal assistant=私人助理"
436,"The sales director approved the new campaign.","销售总监批准了新活动。","managing director=总经理 | sales director=销售总监"
437,"Several senior executives attended the conference.","几位高级管理人员参加了会议。","senior executive=高级管理人员 | executive meeting=高管会议"
438,"Mr. Brown plans to retire at the end of the year.","布朗先生计划年底退休。","retire from work=退休 | retire early=提前退休"
439,"The company offers retirement benefits to employees.","公司为员工提供退休福利。","retirement plan=退休计划 | retirement age=退休年龄"
440,"She resigned from her position last month.","她上个月辞去了职位。","resign from a position=辞职 | resign voluntarily=主动辞职"
441,"He requested a transfer to the Osaka office.","他申请调到大阪办公室。","bank transfer=银行转账 | transfer to another office=调到其他办公室"
442,"Employees must get approval before working overtime.","员工加班前必须获得批准。","work overtime=加班 | overtime pay=加班费"
443,"The night shift begins at ten.","夜班十点开始。","night shift=夜班 | work a shift=上一个班次"
444,"Good attendance is important during training.","培训期间良好出勤很重要。","attendance record=出勤记录 | meeting attendance=会议出席"
445,"Please notify your supervisor of any absence.","如缺勤请通知主管。","absence from work=缺勤 | leave of absence=休假"
446,"Employee performance is reviewed twice a year.","员工绩效每年评估两次。","job performance=工作表现 | performance review=绩效评估"
447,"The annual evaluation includes feedback from supervisors.","年度考核包括主管反馈。","performance evaluation=绩效评估 | evaluation process=评估流程"
448,"The company changed its marketing strategy.","公司调整了营销战略。","business strategy=商业战略 | marketing strategy=营销战略"
449,"Our main objective is to increase online sales.","我们的主要目标是提高线上销售。","business objective=业务目标 | achieve an objective=实现目标"
450,"Customer safety is our top priority.","客户安全是我们的首要任务。","top priority=最高优先级 | set priorities=确定优先事项"
451,"The recycling initiative reduced office waste.","回收举措减少了办公室废弃物。","take the initiative=主动行动 | new initiative=新举措"
452,"Strong leadership helped the team complete the project.","强有力的领导帮助团队完成了项目。","leadership skills=领导能力 | senior leadership=高层领导"
453,"The organization has offices in five countries.","该机构在五个国家设有办公室。","nonprofit organization=非营利组织 | organizational structure=组织结构"
454,"The company changed its management structure.","公司改变了管理结构。","organizational structure=组织结构 | cost structure=成本结构"
455,"The factory will stop operations for maintenance.","工厂将停产进行维护。","business operations=业务运营 | daily operations=日常运营"
456,"The new software improved office efficiency.","新软件提高了办公效率。","improve efficiency=提高效率 | energy efficiency=能源效率"
457,"The new advertising method proved effective.","新的广告方式证明很有效。","effective method=有效方法 | cost-effective=有成本效益的"
458,"The new machine is more efficient than the old one.","新机器比旧机器效率更高。","energy-efficient=节能的 | highly efficient=高效的"
459,"The company introduced new tools to increase productivity.","公司引入新工具以提高生产率。","increase productivity=提高生产率 | worker productivity=员工生产率"
460,"The project requires additional financial resources.","该项目需要额外的财务资源。","human resources=人力资源 | natural resources=自然资源"
461,"Management will allocate more funds to training.","管理层将为培训分配更多资金。","allocate resources=分配资源 | allocate funds=分配资金"
462,"We need to coordinate the delivery with the supplier.","我们需要与供应商协调送货。","coordinate activities=协调活动 | coordinate with=与…协调"
463,"Managers monitor sales performance every week.","经理每周监控销售业绩。","monitor progress=监控进度 | monitor performance=监控表现"
464,"The committee will review the proposal tomorrow.","委员会明天将审查提案。","review a document=审查文件 | performance review=绩效评估"
465,"The bank will assess your loan application.","银行将评估你的贷款申请。","assess risk=评估风险 | assess performance=评估表现"
466,"The team analyzed customer feedback from the survey.","团队分析了调查中的客户反馈。","analyze data=分析数据 | analyze results=分析结果"
467,"We estimate the repair will cost five hundred dollars.","我们估计维修费用为500美元。","cost estimate=成本估算 | estimate demand=估计需求"
468,"The company forecasts higher sales next quarter.","公司预测下季度销售额会更高。","sales forecast=销售预测 | weather forecast=天气预报"
469,"The team achieved its monthly sales target.","团队完成了月度销售目标。","sales target=销售目标 | target market=目标市场"
470,"We achieved our goal ahead of schedule.","我们提前实现了目标。","achieve a goal=实现目标 | achieve results=取得成果"
471,"Regular maintenance helps maintain product quality.","定期维护有助于保持产品质量。","maintain quality=保持质量 | maintain equipment=维护设备"
472,"The company plans to expand into new markets.","公司计划拓展新市场。","expand a business=扩大业务 | expand into=拓展到"
473,"Online sales account for half of our revenue.","线上销售占我们收入的一半。","annual revenue=年度收入 | generate revenue=创造收入"
474,"The building is one of the company's main assets.","这栋楼是公司的主要资产之一。","company assets=公司资产 | fixed asset=固定资产"
475,"The report lists the company's assets and liabilities.","报告列出了公司的资产和负债。","financial liability=财务负债 | legal liability=法律责任"
476,"The company raised capital to build a new factory.","公司筹集资本建设新工厂。","raise capital=筹集资本 | working capital=营运资本"
477,"The project is supported by government funds.","该项目由政府资金支持。","raise funds=筹集资金 | investment fund=投资基金"
478,"The company increased its investment in technology.","公司增加了对技术的投资。","make an investment=进行投资 | investment plan=投资计划"
479,"The company gained market share last year.","公司去年提高了市场份额。","market share=市场份额 | share information=共享信息"
480,"Shareholders approved the proposal at the annual meeting.","股东在年度会议上批准了提案。","major shareholder=大股东 | shareholder meeting=股东大会"
481,"The company will pay a dividend next month.","公司将在下个月支付股息。","pay a dividend=支付股息 | annual dividend=年度股息"
482,"The company reduced its debt by selling unused assets.","公司通过出售闲置资产减少债务。","pay off debt=偿还债务 | national debt=国债"
483,"A deposit is required to confirm the reservation.","确认预订需要支付押金。","pay a deposit=支付押金 | bank deposit=银行存款"
484,"You can withdraw cash from this ATM.","你可以从这台ATM取现金。","withdraw money=取款 | withdraw an application=撤回申请"
485,"The bank recorded every transaction automatically.","银行自动记录了每笔交易。","financial transaction=金融交易 | complete a transaction=完成交易"
486,"Please review your monthly bank statement.","请查看你的月度银行对账单。","bank statement=银行对账单 | financial statement=财务报表"
487,"The company undergoes an annual financial audit.","公司每年接受财务审计。","financial audit=财务审计 | audit report=审计报告"
488,"She works in the accounting department.","她在会计部门工作。","accounting department=会计部门 | accounting system=会计系统"
489,"Sales increased in the second quarter.","销售额在第二季度增长了。","first quarter=第一季度 | quarterly report=季度报告"
490,"The annual report will be published in March.","年度报告将在三月发布。","annual report=年度报告 | annual meeting=年度会议"
491,"Employees submit expense reports monthly.","员工每月提交费用报告。","monthly payment=月付款 | monthly report=月度报告"
492,"Gross sales increased while costs remained stable.","总销售额增长而成本保持稳定。","gross income=总收入 | gross profit=毛利润"
493,"The company reported a net profit of two million dollars.","公司报告净利润200万美元。","net profit=净利润 | net income=净收入"
494,"The store improved its profit margin this year.","商店今年提高了利润率。","profit margin=利润率 | narrow margin=小幅差距"
495,"The project received additional government funding.","该项目获得了额外政府资金。","secure funding=获得资金 | research funding=研究经费"
496,"The salary package includes additional compensation for overtime.","薪酬方案包含加班补偿。","employee compensation=员工报酬 | compensation package=薪酬方案"
497,"The company will reimburse your travel expenses.","公司会报销你的差旅费。","reimburse expenses=报销费用 | reimburse an employee=给员工报销"
498,"The company increased its online advertising budget.","公司提高了线上广告预算。","advertising campaign=广告活动 | advertising budget=广告预算"
499,"Consumer demand has increased this year.","今年消费者需求有所增加。","consumer demand=消费者需求 | consumer behavior=消费者行为"
500,"The presentation was designed for a business audience.","该演示是面向商务听众设计的。","target audience=目标受众 | large audience=大量观众"
