id,example,exampleTranslation,collocations
101,"Payment is due within thirty days.","付款应在三十天内完成。","make a payment=付款 | payment method=付款方式"
102,"You can pay by credit card at the front desk.","你可以在前台用信用卡付款。","pay a bill=支付账单 | pay by card=刷卡支付"
103,"The store accepts both cash and credit cards.","这家商店接受现金和信用卡。","pay in cash=现金支付 | cash payment=现金付款"
104,"Please insert your card into the machine.","请把卡插入机器。","credit card=信用卡 | business card=名片"
105,"The hotel bill includes breakfast and tax.","酒店账单包含早餐和税费。","pay a bill=付账 | utility bill=水电账单"
106,"Please check the invoice before making payment.","付款前请核对发票。","issue an invoice=开具发票 | invoice number=发票号码"
107,"Keep the receipt in case you need a refund.","请保留收据以备退款时使用。","sales receipt=购物收据 | receipt of payment=收款凭证"
108,"The payment was transferred to our bank account.","款项已转入我们的银行账户。","bank account=银行账户 | account balance=账户余额"
109,"The total cost of the order is eighty dollars.","订单总费用是80美元。","total cost=总成本 | total amount=总金额"
110,"Please enter the correct amount on the form.","请在表格上填写正确金额。","total amount=总金额 | large amount=大量"
111,"The hotel charges an additional fee for parking.","酒店会对停车收取额外费用。","service charge=服务费 | charge a fee=收取费用"
112,"There is no additional fee for delivery.","送货不收取额外费用。","service fee=服务费 | entrance fee=入场费"
113,"The price does not include sales tax.","价格不包含销售税。","sales tax=销售税 | tax return=纳税申报"
114,"The department must stay within its annual budget.","该部门必须控制在年度预算内。","annual budget=年度预算 | budget plan=预算计划"
115,"The customer requested a full refund.","顾客要求全额退款。","full refund=全额退款 | request a refund=申请退款"
116,"You can purchase tickets online in advance.","你可以提前在网上购买票。","make a purchase=购买 | purchase order=采购订单"
117,"Please check the equipment before using it.","使用设备前请先检查。","check a document=检查文件 | write a check=开支票"
118,"Your current account balance is shown below.","你的当前账户余额显示如下。","account balance=账户余额 | outstanding balance=未结余额"
119,"The company offers credit to regular customers.","公司向长期客户提供赊购。","credit card=信用卡 | store credit=商店积分额"
120,"Parking is free for hotel guests.","酒店住客可以免费停车。","free of charge=免费 | free time=空闲时间"
121,"The delivery is scheduled for Friday morning.","送货安排在星期五上午。","delivery date=送货日期 | delivery service=送货服务"
