id,example,exampleTranslation,collocations
701,"The policyholder must notify the insurer of any changes.","投保人必须将任何变更通知保险公司。","insurance policyholder=保险投保人 | policyholder information=投保人信息"
702,"Several customers complained about the long wait.","几位顾客投诉等待时间过长。","complain about=投诉… | customer complaint=客户投诉"
703,"The support team resolved the issue within an hour.","支持团队在一小时内解决了问题。","resolve a problem=解决问题 | resolve a complaint=解决投诉"
704,"A replacement will be shipped tomorrow.","替换品明天发货。","replacement part=替换零件 | replacement product=替换产品"
705,"A customer service representative will contact you soon.","客服代表很快会联系你。","sales representative=销售代表 | customer service representative=客服代表"
706,"Please call this number if you need assistance.","如需帮助请拨打这个号码。","technical assistance=技术帮助 | provide assistance=提供帮助"
707,"The manager was supportive of the new training plan.","经理支持新的培训计划。","supportive manager=支持型经理 | supportive of=支持…"
708,"The hotel staff were courteous and professional.","酒店员工礼貌而专业。","courteous service=礼貌服务 | courteous to customers=对顾客有礼貌"
709,"Thank you for your prompt response.","感谢你的迅速回复。","prompt response=迅速回复 | prompt service=快速服务"
710,"The hotel is convenient for business travelers.","这家酒店对商务旅客很方便。","convenient location=便利地点 | convenient for=对…方便"
711,"The building is accessible by public transportation.","这栋楼可以通过公共交通方便到达。","easily accessible=容易到达 | accessible to=对…可使用"
712,"Our support team can handle most customer requests.","我们的支持团队可以处理大多数客户请求。","handle a complaint=处理投诉 | handle an order=处理订单"
713,"This room is suitable for small meetings.","这个房间适合小型会议。","suitable for=适合 | suitable candidate=合适的候选人"
714,"The manager made a recommendation to improve service.","经理提出了改善服务的建议。","make a recommendation=提出建议 | recommendation letter=推荐信"
715,"The company agreed to amend the contract.","公司同意修改合同。","amend a contract=修改合同 | amend a policy=修订政策"
716,"The amendment takes effect next month.","修订内容下个月生效。","contract amendment=合同修订 | proposed amendment=拟议修订"
717,"All suppliers must comply with safety standards.","所有供应商都必须遵守安全标准。","comply with=遵守 | comply fully=完全遵守"
718,"The audit checks compliance with company policy.","审计检查是否符合公司政策。","regulatory compliance=法规合规 | compliance with=遵守…"
719,"This document contains confidential information.","这份文件包含机密信息。","confidential information=机密信息 | strictly confidential=严格保密"
720,"Employees must protect customer confidentiality.","员工必须保护客户机密性。","maintain confidentiality=保持保密 | confidentiality agreement=保密协议"
