id,example,exampleTranslation,collocations
501,"Our main competitor lowered its prices last month.","我们的主要竞争对手上个月降价了。","main competitor=主要竞争对手 | direct competitor=直接竞争对手"
502,"Competition is strong in the smartphone market.","智能手机市场竞争激烈。","strong competition=激烈竞争 | market competition=市场竞争"
503,"Demand for the new product exceeded expectations.","新产品的需求超过预期。","meet demand=满足需求 | customer demand=客户需求"
504,"The report identifies several new market trends.","报告指出了几个新的市场趋势。","market trend=市场趋势 | current trend=当前趋势"
505,"The manager sees great potential in the new market.","经理认为新市场有很大潜力。","growth potential=增长潜力 | potential customer=潜在客户"
506,"The salesperson contacted several new prospects.","销售人员联系了几位潜在客户。","sales prospect=销售潜在客户 | future prospect=未来前景"
507,"The company targets the premium market segment.","公司瞄准高端细分市场。","market segment=细分市场 | customer segment=客户群体"
508,"The company expanded its distribution network.","公司扩大了分销网络。","distribution channel=分销渠道 | distribution center=配送中心"
509,"The product is available at major retail stores.","该产品可在大型零售商店购买。","retail store=零售店 | retail price=零售价"
510,"The supplier offers lower prices for wholesale orders.","供应商对批发订单提供更低价格。","wholesale price=批发价 | wholesale market=批发市场"
511,"The store displays new merchandise near the entrance.","商店在入口附近陈列新商品。","retail merchandise=零售商品 | merchandise display=商品陈列"
512,"The new model features a larger screen.","新型号配备更大的屏幕。","key feature=主要特点 | product feature=产品特点"
513,"Regular training is beneficial to new employees.","定期培训对新员工有益。","beneficial effect=有益效果 | beneficial to=对…有益"
514,"We need competitive prices to enter the market.","我们需要有竞争力的价格进入市场。","competitive price=有竞争力的价格 | competitive advantage=竞争优势"
515,"The company rewards loyal customers with discounts.","公司用折扣奖励忠实客户。","loyal customer=忠实客户 | loyal to a brand=忠于品牌"
516,"The program is designed to increase customer loyalty.","该计划旨在提高客户忠诚度。","customer loyalty=客户忠诚度 | brand loyalty=品牌忠诚度"
517,"Customer satisfaction improved after the service changes.","服务调整后客户满意度提高了。","customer satisfaction=客户满意度 | satisfaction survey=满意度调查"
518,"We use customer feedback to improve our service.","我们利用客户反馈来改进服务。","customer feedback=客户反馈 | positive feedback=积极反馈"
519,"Please respond to the customer's email today.","请今天回复客户的邮件。","respond to a request=回应请求 | respond quickly=快速回应"
520,"The two companies are negotiating a new contract.","两家公司正在谈判一份新合同。","negotiate a contract=谈判合同 | negotiate with=与…谈判"
521,"Please send us a quotation for 500 units.","请给我们发送500件产品的报价。","price quotation=价格报价 | request a quotation=索取报价"
522,"The salesperson earns a commission on each sale.","销售人员每笔销售都能获得佣金。","sales commission=销售佣金 | commission rate=佣金比例"
523,"The warehouse manager checks inventory every morning.","仓库经理每天早上检查库存。","inventory level=库存水平 | inventory control=库存管理"
524,"We are looking for a reliable local supplier.","我们正在寻找可靠的本地供应商。","main supplier=主要供应商 | supplier agreement=供应商协议"
525,"The company changed vendors to reduce costs.","公司更换供应商以降低成本。","approved vendor=获批供应商 | vendor list=供应商清单"
526,"The manufacturer recalled several defective products.","制造商召回了几件有缺陷的产品。","car manufacturer=汽车制造商 | leading manufacturer=领先制造商"
527,"The factory uses recycled material in its packaging.","工厂在包装中使用再生材料。","raw material=原材料 | construction material=建筑材料"
528,"The damaged component must be replaced.","损坏的部件必须更换。","electronic component=电子部件 | key component=关键部件"
529,"Please confirm the quantity before placing the order.","下单前请确认数量。","order quantity=订购数量 | large quantity=大量"
530,"The warehouse has limited storage capacity.","仓库的存储容量有限。","production capacity=生产能力 | storage capacity=存储容量"
531,"Additional storage space is available downstairs.","楼下有额外的储存空间。","storage space=储存空间 | data storage=数据存储"
