id,word,phonetic,partOfSpeech,meaning,level,topic
601,connect,/kənɛkt/,v.,连接,600,Technology & IT
602,compatible,/kəmpætəbəl/,adj.,兼容的,600,Technology & IT
603,version,/vɝʒən/,n.,版本,600,Technology & IT
604,upgrade,/əpɡreɪd/,n./v.,升级,600,Technology & IT
605,backup,/bækʌp/,n./v.,备份,600,Technology & IT
606,recover,/rɪkʌvɚ/,v.,恢复,600,Technology & IT
607,privacy,/praɪvəsi/,n.,隐私,600,Technology & IT
608,user,/juzɚ/,n.,用户,600,Technology & IT
609,register,/rɛdʒɪstɚ/,n./v.,登记；注册,600,Technology & IT
610,login,/lɔɡɪn/,n./v.,登录,600,Technology & IT
611,browse,/braʊz/,v.,浏览,600,Technology & IT
612,upload,/ʌploʊd/,n./v.,上传,600,Technology & IT
613,attachment,/ətætʃmənt/,n.,附件,600,Technology & IT
614,technical,/tɛknɪkəl/,adj.,技术的,600,Technology & IT
615,manufacturing,/mænjəfæktʃɚɪŋ/,n.,制造业,600,Production & Quality
616,assembly,/əsɛmbli/,n.,组装；装配,600,Production & Quality
617,assemble,/əsɛmbəl/,v.,组装,600,Production & Quality
618,output,/aʊtpʊt/,n.,产量；输出,600,Production & Quality
619,defect,/difɛkt/,n.,缺陷,600,Production & Quality
620,fault,/fɔlt/,n.,故障；过失,600,Production & Quality
621,test,/tɛst/,n./v.,测试,600,Production & Quality
622,measure,/mɛʒɚ/,n./v.,测量；措施,600,Production & Quality
623,measurement,/mɛʒɚmənt/,n.,测量结果,600,Production & Quality
624,specification,/spɛsɪfɪkeɪʃən/,n.,规格；说明,600,Production & Quality
625,requirement,/rɪkwaɪrmənt/,n.,要求,600,Production & Quality
626,standardize,/stændɚdaɪz/,v.,标准化,600,Production & Quality
627,consistency,/kənsɪstənsi/,n.,一致性,600,Production & Quality
628,reliable,/rɪlaɪəbəl/,adj.,可靠的,600,Production & Quality
629,durable,/dʊrəbəl/,adj.,耐用的,600,Production & Quality
630,accurate,/ækjɚət/,adj.,准确的,600,Production & Quality
631,accuracy,/ækjɚəsi/,n.,准确性,600,Production & Quality
632,improvement,/ɪmpruvmənt/,n.,改进,600,Production & Quality
633,automate,/ɔtəmeɪt/,v.,自动化,600,Production & Quality
634,machinery,/məʃinɚi/,n.,机械设备,600,Production & Quality
635,laboratory,/læbrətɔri/,n.,实验室,600,Production & Quality
636,correspondence,/kɔrəspɑndəns/,n.,通信；往来信件,600,Communication
637,recipient,/rəsɪpiənt/,n.,收件人,600,Communication
638,sender,/sɛndɚ/,n.,发件人,600,Communication
639,subject,/səbdʒɛkt/,n.,主题；科目,600,Communication
640,regarding,/rɪɡɑrdɪŋ/,prep.,关于,600,Communication
641,inquiry,/ɪnkwaɪri/,n.,询问,600,Communication
642,response,/rɪspɑns/,n.,回复；反应,600,Communication
643,clarify,/klɛrəfaɪ/,v.,澄清,600,Communication
644,mention,/mɛnʃən/,v.,提及,600,Communication
645,notify,/noʊtəfaɪ/,v.,通知,600,Communication
646,remind,/rimaɪnd/,v.,提醒,600,Communication
647,apologize,/əpɑlədʒaɪz/,v.,道歉,600,Communication
648,appreciate,/əpriʃieɪt/,v.,感谢；欣赏,600,Communication
649,suggest,/sədʒɛst/,v.,建议,600,Communication
650,advise,/ædvaɪz/,v.,建议；通知,600,Communication
651,proposal,/prəpoʊzəl/,n.,提案,600,Communication
