id,word,phonetic,partOfSpeech,meaning,level,topic
501,competitor,/kəmpɛtətɚ/,n.,竞争对手,600,Marketing & Sales
502,competition,/kɑmpətɪʃən/,n.,竞争,600,Marketing & Sales
503,demand,/dɪmænd/,n./v.,需求；要求,600,Marketing & Sales
504,trend,/trɛnd/,n.,趋势,600,Marketing & Sales
505,potential,/pətɛnʃəl/,adj./n.,潜在的；潜力,600,Marketing & Sales
506,prospect,/prɑspɛkt/,n.,潜在客户；前景,600,Marketing & Sales
507,segment,/sɛɡmənt/,n.,细分市场；部分,600,Marketing & Sales
508,distribution,/dɪstrəbjuʃən/,n.,分销；分配,600,Marketing & Sales
509,retail,/riteɪl/,n./adj.,零售；零售的,600,Marketing & Sales
510,wholesale,/hoʊlseɪl/,n./adj.,批发；批发的,600,Marketing & Sales
511,merchandise,/mɝtʃəndaɪz/,n.,商品,600,Marketing & Sales
512,feature,/fitʃɚ/,n./v.,特点；以…为特色,600,Marketing & Sales
513,beneficial,/bɛnəfɪʃəl/,adj.,有益的,600,Marketing & Sales
514,competitive,/kəmpɛtətɪv/,adj.,有竞争力的,600,Marketing & Sales
515,loyal,/lɔɪəl/,adj.,忠诚的,600,Marketing & Sales
516,loyalty,/lɔɪəlti/,n.,忠诚度,600,Marketing & Sales
517,satisfaction,/sætəsfækʃən/,n.,满意度,600,Marketing & Sales
518,feedback,/fidbæk/,n.,反馈,600,Marketing & Sales
519,respond,/rɪspɑnd/,v.,回应,600,Marketing & Sales
520,negotiate,/nəɡoʊʃieɪt/,v.,谈判,600,Marketing & Sales
521,quotation,/kwoʊteɪʃən/,n.,报价,600,Marketing & Sales
522,commission,/kəmɪʃən/,n.,佣金；委员会,600,Marketing & Sales
523,inventory,/ɪnvəntɔri/,n.,库存清单,600,Logistics & Supply
524,supplier,/səplaɪɚ/,n.,供应商,600,Logistics & Supply
525,vendor,/vɛndɚ/,n.,供应商；卖方,600,Logistics & Supply
526,manufacturer,/mænjəfæktʃɚɚ/,n.,制造商,600,Logistics & Supply
527,material,/mətɪriəl/,n.,材料,600,Logistics & Supply
528,component,/kəmpoʊnənt/,n.,部件,600,Logistics & Supply
529,quantity,/kwɑntəti/,n.,数量,600,Logistics & Supply
530,capacity,/kəpæsəti/,n.,容量；能力,600,Logistics & Supply
531,storage,/stɔrədʒ/,n.,储存；存储空间,600,Logistics & Supply
