id,word,phonetic,partOfSpeech,meaning,level,topic
301,small,/ˈsmɔl/,adj.,小的,400,Shopping & Retail
302,large,/ˈlɑrdʒ/,adj.,大的,400,Shopping & Retail
303,fit,/ˈfɪt/,n./v.,合身；适合,400,Shopping & Retail
304,try,/ˈtraɪ/,v.,尝试；试穿,400,Shopping & Retail
305,wear,/ˈwɛr/,v.,穿；佩戴,400,Shopping & Retail
306,cashier,/kæˈʃɪr/,n.,收银员,400,Shopping & Retail
307,health,/ˈhɛlθ/,n.,健康,400,Health & Safety
308,hospital,/ˈhɑspɪtəl/,n.,医院,400,Health & Safety
309,doctor,/ˈdɑktɚ/,n.,医生,400,Health & Safety
310,patient,/ˈpeɪʃənt/,n./adj.,患者；耐心的,400,Health & Safety
311,medicine,/ˈmɛdəsən/,n.,药物,400,Health & Safety
312,medical,/ˈmɛdəkəl/,adj.,医疗的,400,Health & Safety
313,sick,/ˈsɪk/,adj.,生病的,400,Health & Safety
314,safe,/ˈseɪf/,adj.,安全的,400,Health & Safety
315,safety,/ˈseɪfti/,n.,安全,400,Health & Safety
316,danger,/ˈdeɪndʒɚ/,n.,危险,400,Health & Safety
317,accident,/ˈæksədənt/,n.,事故,400,Health & Safety
318,emergency,/ɪˈmɝdʒənsi/,n.,紧急情况,400,Health & Safety
319,care,/ˈkɛr/,n./v.,照顾；关心,400,Health & Safety
320,help,/ˈhɛlp/,n./v.,帮助,400,Health & Safety
321,rest,/ˈrɛst/,n./v.,休息,400,Health & Safety
322,clean,/ˈklin/,adj./v.,干净的；清洁,400,Health & Safety
323,protect,/prəˈtɛkt/,v.,保护,400,Health & Safety
324,rule,/ˈrul/,n.,规则,400,Health & Safety
325,warning,/ˈwɔrnɪŋ/,n.,警告,400,Health & Safety
326,maintenance,/ˈmeɪntənəns/,n.,维护；保养,400,Maintenance & Services
327,fix,/ˈfɪks/,v.,修理；解决,400,Maintenance & Services
328,replace,/riˈpleɪs/,v.,更换；代替,400,Maintenance & Services
329,broken,/ˈbroʊkən/,adj.,损坏的,400,Maintenance & Services
330,inspect,/ɪˈnspɛkt/,v.,检查,400,Maintenance & Services
331,condition,/kəˈndɪʃən/,n.,状态；条件,400,Maintenance & Services
332,part,/ˈpɑrt/,n.,零件；部分,400,Maintenance & Services
333,tool,/ˈtul/,n.,工具,400,Maintenance & Services
334,stop,/ˈstɑp/,n./v.,停止,400,Maintenance & Services
335,damage,/ˈdæmədʒ/,n./v.,损坏,400,Maintenance & Services
336,request,/rɪˈkwɛst/,n./v.,请求,400,Maintenance & Services
337,solution,/səˈluʃən/,n.,解决方案,400,Maintenance & Services
338,complete,/kəˈmplit/,adj./v.,完整的；完成,400,Maintenance & Services
339,form,/ˈfɔrm/,n.,表格；形式,400,Documents & Forms
340,name,/ˈneɪm/,n./v.,姓名；命名,400,Documents & Forms
341,number,/ˈnʌmbɚ/,n.,号码；数字,400,Documents & Forms
342,signature,/ˈsɪɡnətʃɚ/,n.,签名,400,Documents & Forms
343,write,/ˈraɪt/,v.,写,400,Documents & Forms
344,read,/ˈrɛd/,v.,阅读,400,Documents & Forms
345,fill,/ˈfɪl/,v.,填写；装满,400,Documents & Forms
346,enter,/ˈɛntɚ/,v.,输入；进入,400,Documents & Forms
347,select,/səˈlɛkt/,v.,选择,400,Documents & Forms
348,attach,/əˈtætʃ/,v.,附上,400,Documents & Forms
349,submit,/səˈbmɪt/,v.,提交,400,Documents & Forms
350,original,/ɚˈɪdʒənəl/,adj./n.,原始的；原件,400,Documents & Forms
351,page,/ˈpeɪdʒ/,n.,页,400,Documents & Forms
352,section,/ˈsɛkʃən/,n.,部分；章节,400,Documents & Forms
353,list,/ˈlɪst/,n./v.,清单；列出,400,Documents & Forms
