id,word,phonetic,partOfSpeech,meaning,level,topic
101,payment,/ˈpeɪmənt/,n.,付款,400,Orders & Payments
102,pay,/ˈpeɪ/,v.,支付；付款,400,Orders & Payments
103,cash,/ˈkæʃ/,n.,现金,400,Orders & Payments
104,card,/ˈkɑrd/,n.,卡；信用卡,400,Orders & Payments
105,bill,/ˈbɪl/,n.,账单,400,Orders & Payments
106,invoice,/ˈɪnvɔɪs/,n.,发票；账单,400,Orders & Payments
107,receipt,/rɪˈsit/,n.,收据,400,Orders & Payments
108,account,/əˈkaʊnt/,n.,账户；账目,400,Orders & Payments
109,total,/ˈtoʊtəl/,n./adj.,总数；总计的,400,Orders & Payments
110,amount,/əˈmaʊnt/,n.,金额；数量,400,Orders & Payments
111,charge,/ˈtʃɑrdʒ/,n./v.,费用；收费,400,Orders & Payments
112,fee,/ˈfi/,n.,费用,400,Orders & Payments
113,tax,/ˈtæks/,n.,税,400,Orders & Payments
114,budget,/ˈbʌdʒɪt/,n.,预算,400,Orders & Payments
115,refund,/rɪˈfʌnd/,n./v.,退款；退还,400,Orders & Payments
116,purchase,/ˈpɝtʃəs/,n./v.,购买,400,Orders & Payments
117,check,/ˈtʃɛk/,n./v.,支票；检查,400,Orders & Payments
118,balance,/ˈbæləns/,n.,余额；平衡,400,Orders & Payments
119,credit,/ˈkrɛdət/,n.,信用；贷方,400,Orders & Payments
120,free,/ˈfri/,adj.,免费的；空闲的,400,Orders & Payments
121,delivery,/dɪˈlɪvɚi/,n.,投递；交付,400,Shipping & Delivery
122,deliver,/dɪˈlɪvɚ/,v.,递送；交付,400,Shipping & Delivery
123,ship,/ˈʃɪp/,n./v.,船；运输,400,Shipping & Delivery
124,shipment,/ˈʃɪpmənt/,n.,装运；货物,400,Shipping & Delivery
125,package,/ˈpækədʒ/,n.,包裹；包装,400,Shipping & Delivery
126,box,/ˈbɑks/,n.,箱子,400,Shipping & Delivery
127,send,/ˈsɛnd/,v.,发送；寄送,400,Shipping & Delivery
128,receive,/rəˈsiv/,v.,收到；接收,400,Shipping & Delivery
129,address,/ˈædrɛs/,n./v.,地址；处理,400,Shipping & Delivery
130,return,/rɪˈtɝn/,n./v.,退回；返回,400,Shipping & Delivery
131,arrive,/ɚˈaɪv/,v.,到达,400,Shipping & Delivery
132,leave,/ˈliv/,v.,离开；留下,400,Shipping & Delivery
133,track,/ˈtræk/,n./v.,追踪；轨道,400,Shipping & Delivery
134,warehouse,/ˈwɛrhaʊs/,n.,仓库,400,Shipping & Delivery
135,stock,/ˈstɑk/,n.,库存；股票,400,Shipping & Delivery
136,supply,/səˈplaɪ/,n./v.,供应；提供,400,Shipping & Delivery
137,item,/ˈaɪtəm/,n.,物品；项目,400,Shipping & Delivery
138,weight,/ˈweɪt/,n.,重量,400,Shipping & Delivery
139,size,/ˈsaɪz/,n.,尺寸；大小,400,Shipping & Delivery
140,label,/ˈleɪbəl/,n./v.,标签；贴标签,400,Shipping & Delivery
141,travel,/ˈtrævəl/,n./v.,旅行；出差,400,Travel & Transportation
142,trip,/ˈtrɪp/,n.,旅行；出差,400,Travel & Transportation
143,ticket,/ˈtɪkət/,n.,票,400,Travel & Transportation
144,train,/ˈtreɪn/,n./v.,火车；培训,400,Travel & Transportation
145,bus,/ˈbʌs/,n.,公共汽车,400,Travel & Transportation
146,flight,/ˈflaɪt/,n.,航班,400,Travel & Transportation
147,airport,/ˈɛrpɔrt/,n.,机场,400,Travel & Transportation
148,station,/ˈsteɪʃən/,n.,车站,400,Travel & Transportation
149,hotel,/hoʊˈtɛl/,n.,酒店,400,Travel & Transportation
150,reservation,/rɛzɚˈveɪʃən/,n.,预订,400,Travel & Transportation
151,book,/ˈbʊk/,n./v.,书；预订,400,Travel & Transportation
152,luggage,/ˈlʌɡədʒ/,n.,行李,400,Travel & Transportation
153,passenger,/ˈpæsəndʒɚ/,n.,乘客,400,Travel & Transportation
154,driver,/ˈdraɪvɚ/,n.,司机,400,Travel & Transportation
155,car,/ˈkɑr/,n.,汽车,400,Travel & Transportation
156,road,/ˈroʊd/,n.,道路,400,Travel & Transportation
157,map,/ˈmæp/,n.,地图,400,Travel & Transportation
158,local,/ˈloʊkəl/,adj./n.,当地的；当地人,400,Travel & Transportation
159,visit,/ˈvɪzɪt/,n./v.,访问；参观,400,Travel & Transportation
160,tour,/ˈtʊr/,n./v.,旅行；参观,400,Travel & Transportation
161,building,/ˈbɪldɪŋ/,n.,建筑物,400,Facilities & Buildings
162,floor,/ˈflɔr/,n.,楼层；地板,400,Facilities & Buildings
163,entrance,/ˈɛntrəns/,n.,入口,400,Facilities & Buildings
164,exit,/ˈɛɡzɪt/,n./v.,出口；退出,400,Facilities & Buildings
165,door,/ˈdɔr/,n.,门,400,Facilities & Buildings
166,window,/ˈwɪndoʊ/,n.,窗户,400,Facilities & Buildings
167,elevator,/ˈɛləveɪtɚ/,n.,电梯,400,Facilities & Buildings
168,stairs,/ˈstɛrz/,n.,楼梯,400,Facilities & Buildings
169,parking,/ˈpɑrkɪŋ/,n.,停车；停车场,400,Facilities & Buildings
170,restroom,/ˈrɛstrum/,n.,洗手间,400,Facilities & Buildings
171,restaurant,/ˈrɛstɚɑnt/,n.,餐厅,400,Facilities & Buildings
172,cafeteria,/kæfəˈtɪriə/,n.,自助餐厅；食堂,400,Facilities & Buildings
173,counter,/ˈkaʊntɚ/,n.,柜台,400,Facilities & Buildings
174,reception,/rɪˈsɛpʃən/,n.,接待处；招待会,400,Facilities & Buildings
175,hall,/ˈhɔl/,n.,大厅；礼堂,400,Facilities & Buildings
176,area,/ˈɛriə/,n.,区域,400,Facilities & Buildings
177,location,/loʊˈkeɪʃən/,n.,位置；地点,400,Facilities & Buildings
178,near,/ˈnɪr/,prep./adj.,靠近；附近的,400,Facilities & Buildings
179,open,/ˈoʊpən/,adj./v.,开放的；打开,400,Facilities & Buildings
180,close,/ˈkloʊs/,adj./v.,近的；关闭,400,Facilities & Buildings
181,computer,/kəˈmpjutɚ/,n.,电脑,400,Equipment & Technology
182,screen,/ˈskrin/,n.,屏幕,400,Equipment & Technology
183,keyboard,/ˈkibɔrd/,n.,键盘,400,Equipment & Technology
184,machine,/məˈʃin/,n.,机器,400,Equipment & Technology
185,equipment,/ɪˈkwɪpmənt/,n.,设备,400,Equipment & Technology
186,device,/dɪˈvaɪs/,n.,设备；装置,400,Equipment & Technology
187,system,/ˈsɪstəm/,n.,系统,400,Equipment & Technology
188,software,/ˈsɔftwɛr/,n.,软件,400,Equipment & Technology
189,website,/ˈwɛbsaɪt/,n.,网站,400,Equipment & Technology
190,online,/ˈɔnlaɪn/,adj./adv.,在线的；在线地,400,Equipment & Technology
191,password,/ˈpæswɝd/,n.,密码,400,Equipment & Technology
192,data,/ˈdeɪtə/,n.,数据,400,Equipment & Technology
193,save,/ˈseɪv/,v.,保存；节省,400,Equipment & Technology
194,download,/ˈdaʊnloʊd/,n./v.,下载,400,Equipment & Technology
195,update,/əˈpdeɪt/,n./v.,更新,400,Equipment & Technology
196,install,/ɪˈnstɔl/,v.,安装,400,Equipment & Technology
197,repair,/rɪˈpɛr/,n./v.,维修；修理,400,Equipment & Technology
198,operate,/ˈɑpɚeɪt/,v.,操作；运转,400,Equipment & Technology
199,use,/ˈjus/,n./v.,使用；用途,400,Equipment & Technology
200,problem,/ˈprɑbləm/,n.,问题；故障,400,Equipment & Technology
