id,word,phonetic,partOfSpeech,meaning,level,topic
951,logistics,/ləˈdʒɪstɪks/,n.,物流,700,Supply Chain Advanced
952,sourcing,/ˈsɔːrsɪŋ/,n.,采购寻源,700,Supply Chain Advanced
953,outsourcing,/ˈaʊtsɔːrsɪŋ/,n.,外包,700,Supply Chain Advanced
954,subcontractor,/ˌsʌbˈkɑːntræktər/,n.,分包商,700,Supply Chain Advanced
955,leadtime,/ˈliːdtaɪm/,n.,交付周期,700,Supply Chain Advanced
956,replenishment,/rɪˈplenɪʃmənt/,n.,补货,700,Supply Chain Advanced
957,allocation,/ˌæləˈkeɪʃən/,n.,分配,700,Supply Chain Advanced
958,distributional,/ˌdɪstrəˈbjuːʃənəl/,adj.,分配的；配送的,700,Supply Chain Advanced
959,traceability,/ˌtreɪsəˈbɪləti/,n.,可追溯性,700,Supply Chain Advanced
960,tendering,/ˈtendərɪŋ/,n.,招标,700,Supply Chain Advanced
961,fulfill,/fʊlˈfɪl/,v.,履行；完成,700,Supply Chain Advanced
962,consolidate,/kənˈsɑːlədeɪt/,v.,合并；集中,700,Supply Chain Advanced
963,synchronize,/ˈsɪŋkrənaɪz/,v.,使同步,700,Supply Chain Advanced
964,expedite,/ˈekspədaɪt/,v.,加快；催办,700,Supply Chain Advanced
965,haulage,/ˈhɔːlɪdʒ/,n.,货运,700,Supply Chain Advanced
966,transshipment,/trænˈʃɪpmənt/,n.,转运；转船,700,Supply Chain Advanced
967,manifest,/ˈmænəfest/,n.,货物清单,700,Supply Chain Advanced
968,pallet,/ˈpælət/,n.,托盘,700,Supply Chain Advanced
969,packaging,/ˈpækɪdʒɪŋ/,n.,包装,700,Supply Chain Advanced
970,perishable,/ˈperɪʃəbəl/,adj.,易腐的,700,Supply Chain Advanced
971,inventorying,/ˈɪnvənˌtɔːriɪŋ/,n.,盘点,700,Supply Chain Advanced
972,warehousing,/ˈwerˌhaʊzɪŋ/,n.,仓储,700,Supply Chain Advanced
973,dispatching,/dɪˈspætʃɪŋ/,n.,调度；派送,700,Supply Chain Advanced
974,reorder,/ˌriːˈɔːrdər/,v.,重新订购,700,Supply Chain Advanced
975,stockout,/ˈstɑːkaʊt/,n.,缺货,700,Supply Chain Advanced
976,substantial,/səbˈstænʃəl/,adj.,大量的；重大的,700,Formal Business Language
977,considerable,/kənˈsɪdərəbəl/,adj.,相当大的,700,Formal Business Language
978,significant,/sɪɡˈnɪfɪkənt/,adj.,显著的；重要的,700,Formal Business Language
979,marginal,/ˈmɑːrdʒənəl/,adj.,微小的；边际的,700,Formal Business Language
980,negligible,/ˈneɡlɪdʒəbəl/,adj.,可忽略的,700,Formal Business Language
981,adequate,/ˈædəkwət/,adj.,足够的,700,Formal Business Language
982,insufficient,/ˌɪnsəˈfɪʃənt/,adj.,不足的,700,Formal Business Language
983,excessive,/ɪkˈsesɪv/,adj.,过度的,700,Formal Business Language
984,preliminary,/prɪˈlɪməneri/,adj.,初步的,700,Formal Business Language
985,subsequent,/ˈsʌbsəkwənt/,adj.,随后的,700,Formal Business Language
986,consecutive,/kənˈsekjətɪv/,adj.,连续的,700,Formal Business Language
987,simultaneous,/ˌsaɪməlˈteɪniəs/,adj.,同时发生的,700,Formal Business Language
988,prospective,/prəˈspektɪv/,adj.,潜在的；预期的,700,Formal Business Language
989,retrospective,/ˌretrəˈspektɪv/,adj.,回顾的,700,Formal Business Language
990,prevailing,/prɪˈveɪlɪŋ/,adj.,当前盛行的,700,Formal Business Language
991,underlying,/ˌʌndərˈlaɪɪŋ/,adj.,根本的；潜在的,700,Formal Business Language
992,overall,/ˌoʊvərˈɔːl/,adj./adv.,总体的；总体上,700,Formal Business Language
993,mutual,/ˈmjuːtʃuəl/,adj.,相互的,700,Formal Business Language
994,respective,/rɪˈspektɪv/,adj.,各自的,700,Formal Business Language
995,concerning,/kənˈsɝːnɪŋ/,prep.,关于,700,Formal Business Language
996,notwithstanding,/ˌnɑːtwɪθˈstændɪŋ/,prep./adv.,尽管,700,Formal Business Language
997,thereafter,/ˌðerˈæftər/,adv.,此后,700,Formal Business Language
998,hereby,/ˌhɪrˈbaɪ/,adv.,特此,700,Formal Business Language
999,accordingly,/əˈkɔːrdɪŋli/,adv.,因此；相应地,700,Formal Business Language
1000,whereas,/werˈæz/,conj.,然而；鉴于,700,Formal Business Language
